"year","Date","STN_ID","SSTP","lat","lon","source"
1993,1993-06-17,"C46147 S. Moresby",11.864,51.83,-131.217,"DFO_MEDS"
1993,1993-06-18,"C46147 S. Moresby",12.342,51.83,-131.217,"DFO_MEDS"
1993,1993-06-19,"C46147 S. Moresby",12.391,51.83,-131.217,"DFO_MEDS"
1993,1993-06-20,"C46147 S. Moresby",12.287,51.83,-131.217,"DFO_MEDS"
1993,1993-06-21,"C46147 S. Moresby",12.774,51.83,-131.217,"DFO_MEDS"
1993,1993-06-22,"C46147 S. Moresby",12.492,51.83,-131.217,"DFO_MEDS"
1993,1993-06-23,"C46147 S. Moresby",12.488,51.83,-131.217,"DFO_MEDS"
1993,1993-06-24,"C46147 S. Moresby",12.129,51.83,-131.217,"DFO_MEDS"
1993,1993-06-25,"C46147 S. Moresby",12.854,51.83,-131.217,"DFO_MEDS"
1993,1993-06-26,"C46147 S. Moresby",13.312,51.83,-131.217,"DFO_MEDS"
1993,1993-06-27,"C46147 S. Moresby",12.963,51.83,-131.217,"DFO_MEDS"
1993,1993-06-28,"C46147 S. Moresby",12.387,51.83,-131.217,"DFO_MEDS"
1993,1993-06-29,"C46147 S. Moresby",11.913,51.83,-131.217,"DFO_MEDS"
1993,1993-06-30,"C46147 S. Moresby",12.774,51.83,-131.217,"DFO_MEDS"
1993,1993-07-01,"C46147 S. Moresby",12.75,51.83,-131.217,"DFO_MEDS"
1993,1993-07-02,"C46147 S. Moresby",12.453,51.83,-131.217,"DFO_MEDS"
1993,1993-07-03,"C46147 S. Moresby",12.2,51.83,-131.217,"DFO_MEDS"
1993,1993-07-04,"C46147 S. Moresby",11.848,51.83,-131.217,"DFO_MEDS"
1993,1993-07-05,"C46147 S. Moresby",11.82,51.83,-131.217,"DFO_MEDS"
1993,1993-07-06,"C46147 S. Moresby",11.657,51.83,-131.217,"DFO_MEDS"
1993,1993-07-07,"C46147 S. Moresby",11.8,51.83,-131.217,"DFO_MEDS"
1993,1993-07-08,"C46147 S. Moresby",12.248,51.83,-131.217,"DFO_MEDS"
1993,1993-07-09,"C46147 S. Moresby",12.704,51.83,-131.217,"DFO_MEDS"
1993,1993-07-10,"C46147 S. Moresby",13.125,51.83,-131.217,"DFO_MEDS"
1993,1993-07-11,"C46147 S. Moresby",13.452,51.83,-131.217,"DFO_MEDS"
1993,1993-07-12,"C46147 S. Moresby",13.321,51.83,-131.217,"DFO_MEDS"
1993,1993-07-13,"C46147 S. Moresby",13.17,51.83,-131.217,"DFO_MEDS"
1993,1993-07-14,"C46147 S. Moresby",13.091,51.83,-131.217,"DFO_MEDS"
1993,1993-07-17,"C46147 S. Moresby",13.167,51.83,-131.217,"DFO_MEDS"
1993,1993-07-18,"C46147 S. Moresby",13.483,51.83,-131.217,"DFO_MEDS"
1993,1993-07-19,"C46147 S. Moresby",13.229,51.83,-131.217,"DFO_MEDS"
1993,1993-07-20,"C46147 S. Moresby",12.781,51.83,-131.217,"DFO_MEDS"
1993,1993-07-21,"C46147 S. Moresby",12.558,51.83,-131.217,"DFO_MEDS"
1993,1993-07-22,"C46147 S. Moresby",12.121,51.83,-131.217,"DFO_MEDS"
1993,1993-07-23,"C46147 S. Moresby",12.533,51.83,-131.217,"DFO_MEDS"
1993,1993-07-24,"C46147 S. Moresby",12.621,51.83,-131.217,"DFO_MEDS"
1993,1993-07-25,"C46147 S. Moresby",12.971,51.83,-131.217,"DFO_MEDS"
1993,1993-07-26,"C46147 S. Moresby",13.054,51.83,-131.217,"DFO_MEDS"
1993,1993-07-27,"C46147 S. Moresby",13.65,51.83,-131.217,"DFO_MEDS"
1993,1993-07-28,"C46147 S. Moresby",13.383,51.83,-131.217,"DFO_MEDS"
1993,1993-07-29,"C46147 S. Moresby",13.5,51.83,-131.217,"DFO_MEDS"
1993,1993-07-30,"C46147 S. Moresby",14.117,51.83,-131.217,"DFO_MEDS"
1993,1993-08-02,"C46147 S. Moresby",12.85,51.83,-131.217,"DFO_MEDS"
1993,1993-08-03,"C46147 S. Moresby",12.918,51.83,-131.217,"DFO_MEDS"
1993,1993-08-04,"C46147 S. Moresby",13.15,51.83,-131.217,"DFO_MEDS"
1993,1993-08-05,"C46147 S. Moresby",13.729,51.83,-131.217,"DFO_MEDS"
1993,1993-08-06,"C46147 S. Moresby",13.367,51.83,-131.217,"DFO_MEDS"
1993,1993-08-07,"C46147 S. Moresby",13.083,51.83,-131.217,"DFO_MEDS"
1993,1993-08-08,"C46147 S. Moresby",13.583,51.83,-131.217,"DFO_MEDS"
1993,1993-08-09,"C46147 S. Moresby",13.804,51.83,-131.217,"DFO_MEDS"
1993,1993-08-10,"C46147 S. Moresby",13.562,51.83,-131.217,"DFO_MEDS"
1993,1993-08-11,"C46147 S. Moresby",13.4,51.83,-131.217,"DFO_MEDS"
1993,1993-08-12,"C46147 S. Moresby",13.95,51.83,-131.217,"DFO_MEDS"
1993,1993-08-13,"C46147 S. Moresby",14.075,51.83,-131.217,"DFO_MEDS"
1993,1993-08-14,"C46147 S. Moresby",14.927,51.83,-131.217,"DFO_MEDS"
1993,1993-08-15,"C46147 S. Moresby",14.668,51.83,-131.217,"DFO_MEDS"
1993,1993-08-16,"C46147 S. Moresby",14.746,51.83,-131.217,"DFO_MEDS"
1993,1993-08-17,"C46147 S. Moresby",13.718,51.83,-131.217,"DFO_MEDS"
1993,1993-08-18,"C46147 S. Moresby",13.533,51.83,-131.217,"DFO_MEDS"
1993,1993-08-19,"C46147 S. Moresby",13.542,51.83,-131.217,"DFO_MEDS"
1993,1993-08-20,"C46147 S. Moresby",14.208,51.83,-131.217,"DFO_MEDS"
1993,1993-08-21,"C46147 S. Moresby",13.857,51.83,-131.217,"DFO_MEDS"
1993,1993-08-22,"C46147 S. Moresby",13.857,51.83,-131.217,"DFO_MEDS"
1993,1993-08-23,"C46147 S. Moresby",13.391,51.83,-131.217,"DFO_MEDS"
1993,1993-08-24,"C46147 S. Moresby",13.843,51.83,-131.217,"DFO_MEDS"
1993,1993-08-25,"C46147 S. Moresby",13.777,51.83,-131.217,"DFO_MEDS"
1993,1993-08-26,"C46147 S. Moresby",13.613,51.83,-131.217,"DFO_MEDS"
1993,1993-08-27,"C46147 S. Moresby",13.817,51.83,-131.217,"DFO_MEDS"
1993,1993-08-28,"C46147 S. Moresby",14.108,51.83,-131.217,"DFO_MEDS"
1993,1993-08-29,"C46147 S. Moresby",13.609,51.83,-131.217,"DFO_MEDS"
1993,1993-08-30,"C46147 S. Moresby",13.446,51.83,-131.217,"DFO_MEDS"
1993,1993-08-31,"C46147 S. Moresby",13.504,51.83,-131.217,"DFO_MEDS"
1993,1993-09-01,"C46147 S. Moresby",13.426,51.83,-131.217,"DFO_MEDS"
1993,1993-09-02,"C46147 S. Moresby",13.85,51.83,-131.217,"DFO_MEDS"
1993,1993-09-03,"C46147 S. Moresby",13.648,51.83,-131.217,"DFO_MEDS"
1993,1993-09-04,"C46147 S. Moresby",13.45,51.83,-131.217,"DFO_MEDS"
1993,1993-09-05,"C46147 S. Moresby",13.479,51.83,-131.217,"DFO_MEDS"
1993,1993-09-06,"C46147 S. Moresby",13.575,51.83,-131.217,"DFO_MEDS"
1993,1993-09-07,"C46147 S. Moresby",13.845,51.83,-131.217,"DFO_MEDS"
1993,1993-09-08,"C46147 S. Moresby",13.476,51.83,-131.217,"DFO_MEDS"
1993,1993-09-09,"C46147 S. Moresby",13.957,51.83,-131.217,"DFO_MEDS"
1993,1993-09-10,"C46147 S. Moresby",13.875,51.83,-131.217,"DFO_MEDS"
1993,1993-09-11,"C46147 S. Moresby",13.952,51.83,-131.217,"DFO_MEDS"
1993,1993-09-12,"C46147 S. Moresby",13.483,51.83,-131.217,"DFO_MEDS"
1993,1993-09-13,"C46147 S. Moresby",14.246,51.83,-131.217,"DFO_MEDS"
1993,1993-09-14,"C46147 S. Moresby",13.357,51.83,-131.217,"DFO_MEDS"
1993,1993-09-15,"C46147 S. Moresby",12.958,51.83,-131.217,"DFO_MEDS"
